													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
	Category	Tonnes	Fe %	P %	SiO2 %	Al2O3 %	LOI %	S %					
Snark	Indicated	"7,320,000"	55.1	0.07	8.4	4.4	7.7	0.15					
	Inferred	"4,110,000"	55.1	0.07	8.7	4.2	7.6	0.12					
Drabble Downs	Indicated	"1,310,000"	53.5	0.06	8.1	5.4	9	0.36					
	Inferred	"1,380,000"	55.9	0.06	5.9	4.6	8.7	0.35					
Banjo - Lost World	Inferred	"5,500,000"	55.7	0.07	8.1	4.7	7.1	0.15					
Central	Inferred	"4,800,000"	55.2	0.06	8.2	4.5	8	0.14					
Total	Indicated	"8,630,000"	54.8	0.07	8.3	4.6	7.9	0.19					
	Inferred	"15,800,000"	55.4	0.07	8.1	4.5	7.6	0.16					
Product	Mass	Fe	SiO2	Al2O3	P	S	LOI-1000	CaFe					
	(%)	(%)	(%)	(%)	(%)	(%)	(%)	(%)					
"Snark deposit
Lump"	35.8	60.2	3.6	2.1	0.102	0.13	7.9	65.4					
Fines	64.2	58.9	5.5	3.04	0.081	0.132	6.8	63.2					
Feed	100	59.4	4.8	2.7	0.089	0.131	7.2	64					
"Banjo deposit
Lump"	52	59	5	2.9	0.06	0.1	7.1	63.5					
Fines	48	55.2	8.3	4.84	0.06	0.14	7	59.4					
Feed	100	57.2	6.6	3.8	0.06	0.12	7.1	61.5					
Area	"Mineable
Quantity (Mt)"	"Grade
(% Fe)"	"Calcined
Grade
(% CaFe)"	"Waste
(Mt)"	"Strip Ratio
(t:t)"								
Snark	5.8	55.9	60.5	16.7	2.9:1								
Banjo	2.6	56.1	60.3	6	2.3:1								
Central	2.1	55.7	60.6	7.1	3.4:1								
Total	10.5	55.9	60.5	29.8	2.8:1								
													
													
													
	Costs (AU$m)												
Direct	93.5												
Indirect	16.8												
Contingency	23.4												
Total	133.7												
	AU$/t												
Operation													
	Shipped												
Mining	14.1												
Processing	2.5												
Road Haulage	14.4												
Rail Haulage	26.3												
Port	8												
Indirects	2												
Total	67.3												
"Discount Rate
%pa"	"Sales
Mt"	"Pre-tax NPV
A$m"	"IRR
%"	"Payback
(Yrs)"									
8	10.5	248	62	3									
10	10.5	227	62	3									
													
													
													
Title ID	Status	Area (Ha)	Grated Date	Expiry Date	"Rent
(AUD)"	Comment							
SNARK PROSPECT													
M30/0213	Live	894	13-Jun-11	12-Jun-32	"13,410"	Iron Ore Rights							
M30/0214	Live	894	13-Jun-11	12-Jun-32	"13,410"	Iron Ore Rights							
M30/0243	Live	"1,253"	02-Jun-09	01-Jun-30	"18,795"	Iron Ore Rights							
E30/0240	Live	39	23-Oct-00	22 Oct 2011* **	"17,687"	Iron Ore Rights							
M30/0249	Pending	"3,821"				Iron Ore Rights							
DRABBLE DOWNS PROSPECT													
M30/0216	Live	893	13-Jun-11	12-Jun-32	"13,395"	Iron Ore Rights							
M30/0217	Live	893	13-Jun-11	12-Jun-32	"13,395"	Iron Ore Rights							
E30/0321	Live	12	08-Aug-07	07-Aug-12	"2,118"	Iron Ore Rights							
E30/0349	Pending	5			567.5								
P30/1083	Live	115	27-Oct-09	26-Oct-13	253	Iron Ore Rights							
